ID,sege_sum,sege_sum_w
201001,16,20
201008,8,11
201010,21,24
203001,18,18
203002,14,14
203003,21,19
203004,24,19
204001,24,25
204006,16,17
205001,18,19
205004,18,19
205008,24,24
205009,16,18
205013,13,15
205014,17,17
205028,16,16
205029,18,19
205036,17,19
206001,20,21
206002,23,24
206005,20,23
206011,20,21
207001,10,7
207002,5,6
207004,5,5
207006,12,10
207007,14,12
207008,17,17
207022,12,10
207023,5,4
207024,6,6
207025,5,4
207026,16,15
207027,5,3
207028,3,2
207029,7,6
207030,5,4
207031,12,9
207032,13,11
208001,11,11
208011,2,2
209019,19,19
210001,19,18
210016,20,19
210018,22,21
210039,1,1
210044,15,13
211008,6,6
211043,12,11
211056,15,18
211057,25,25
211072,15,15
211073,24,20
212001,15,12
213003,14,13
213009,13,11
213010,21,19
213013,19,20
213016,19,13
213019,1,1
214001,18,16
214002,14,13
214003,18,20
214004,18,19
214005,19,20
214006,22,22
214016,18,20
214025,19,20
214027,24,24
214033,18,19
214039,20,20
214046,20,19
214054,20,23
214055,16,18
214057,7,7
214059,20,23
214062,14,15
214064,19,17
214065,14,16
214066,10,11
214071,7,8
214073,10,10
215002,20,21
217001,1,1
217003,16,13
217005,11,11
217006,13,13
217007,19,26
217008,19,26
217011,3,3
217012,17,22
217013,17,14
218001,22,17
220003,5,4
220004,10,10
220007,6,5
220008,17,14
220010,13,9
220011,20,20
220015,18,13
222029,19,20
223003,21,24
225001,15,12
225002,22,18
225003,18,15
225004,19,16
225008,11,11
226001,1,1
226002,3,3
226003,18,17
226004,12,10
226005,19,17
226006,22,17
226007,20,18
226008,17,17
226010,17,16
226011,10,10
226053,9,9
226054,13,13
226055,23,16
226056,22,20
226057,19,17
226058,16,15
226059,23,21
226060,14,14
231014,3,3
231015,2,2
232003,20,16
232004,22,18
232005,12,12
232006,19,17
232025,15,14
232026,22,20
232030,23,18
232054,19,19
232055,14,14
232056,21,21
232065,20,16
234001,21,23
234004,19,19
234007,19,21
234010,23,29
234012,20,20
234023,20,27
234024,21,21
234025,20,19
234026,19,18
234028,21,23
234029,20,20
234030,20,22
234031,20,23
234032,15,14
234033,15,15
234034,19,21
234035,11,13
234045,21,21
234046,19,19
235003,17,16
235004,19,19
235005,23,18
238002,22,22
240002,21,27
240003,12,13
240020,1,1
240021,14,14
240022,5,6
240023,1,1
240036,2,2
240037,15,15
240038,13,13
240039,18,20
240040,23,26
241007,1,1
241018,1,1
241019,19,19
241021,15,14
241023,22,22
241025,23,23
241027,19,19
241029,19,19
243022,14,16
243026,18,20
243034,23,29
248038,16,15
248052,13,13
257001,23,23
257002,22,21
257003,22,17
257004,20,16
257005,20,16
257012,19,19
257016,21,20
257017,19,15
262027,18,17
262043,20,21
262047,13,14
262049,20,20
262051,19,21
262053,18,19
262054,13,15
262055,18,18
262056,22,22
262057,19,21
262061,8,8
262071,19,21
269001,20,20
269011,23,26
269012,19,21
269013,23,24
302001,14,14
302002,10,10
302005,20,23
302006,22,23
302007,15,15
305005,22,22
305011,20,18
305014,23,21
305019,16,15
305020,15,15
305026,16,15
309014,18,17
309015,25,28
309021,23,24
309026,10,11
309033,24,24
309035,12,11
309036,10,9
309043,21,22
310005,21,19
310007,17,16
310008,20,20
310009,16,18
310010,17,13
310011,20,18
310012,9,7
310013,19,15
310014,20,18
310017,18,21
310019,18,18
310022,19,16
313003,22,20
314007,20,16
314008,16,16
314010,22,22
314012,14,14
314014,22,18
315001,22,21
315002,15,15
315003,21,21
315004,24,23
315005,20,20
315006,1,1
315008,22,22
315009,14,14
315010,1,1
315011,22,21
315012,11,10
315013,22,25
315014,23,26
315015,23,27
315016,9,9
315017,9,9
315018,21,21
315019,22,21
315020,22,25
316003,24,22
316004,10,9
317005,21,21
317008,13,11
317011,16,13
317016,21,21
318006,7,7
318015,23,26
318018,24,27
318019,20,23
318021,7,7
318022,21,24
318023,20,23
318024,23,23
318025,19,20
318026,24,27
318027,20,21
319001,22,18
321012,24,26
323003,1,1
323010,17,16
325008,3,3
326006,3,3
326023,1,1
326025,1,1
326026,1,1
326027,1,1
327004,18,18
327007,22,22
327013,13,12
327024,23,23
327025,2,2
327033,21,25
327038,22,22
327041,25,23
328001,21,24
328003,23,23
328004,22,22
328005,24,25
328006,23,23
328007,23,29
328008,20,27
328009,20,21
331001,20,21
333011,18,20
333013,19,20
336006,17,17
336014,10,10
338003,14,14
338005,12,12
338007,15,15
348002,16,22
348003,22,30
348004,22,28
348005,18,23
348006,20,26
364003,8,7
364004,23,23
364005,15,15
364006,18,18
364007,22,20
364008,22,22
364009,24,23
365005,20,20
365008,22,20
365011,11,11
365012,20,20
365016,19,20
365017,21,20
365018,20,15
365019,21,20
365020,23,21
365021,22,23
365022,21,23
365023,21,16
